,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
339,2020-03-22,경기,3,337,16,0,0,0,0,2.54
340,2020-03-22,세종,0,41,0,0,0,0,0,11.98
341,2020-03-22,울산,0,36,0,0,0,0,0,3.14
342,2020-03-22,대전,0,24,2,0,0,0,0,1.63
343,2020-03-22,광주,0,19,1,0,0,0,0,1.3
344,2020-03-22,인천,0,40,0,0,0,0,0,1.35
345,2020-03-22,대구,75,6387,43,0,0,0,0,262.14
346,2020-03-22,부산,1,108,0,0,0,0,0,3.17
347,2020-03-22,서울,0,324,10,0,0,0,0,3.33
348,2020-03-22,합계,104,8897,98,0,0,0,0,17.16
349,2020-03-23,검역,0,47,13,0,0,0,0,0.0
350,2020-03-23,제주,0,4,0,0,0,0,0,0.6
351,2020-03-23,경남,0,89,1,0,0,0,0,2.65
352,2020-03-23,경북,24,1256,2,0,0,0,0,47.17
353,2020-03-23,전남,0,6,0,0,0,0,0,0.32
354,2020-03-23,전북,0,10,0,0,0,0,0,0.55
355,2020-03-23,충남,0,120,0,0,0,0,0,5.65
356,2020-03-23,충북,0,37,2,0,0,0,0,2.31
357,2020-03-23,강원,1,30,0,0,0,0,0,1.95
358,2020-03-23,경기,3,351,14,0,0,0,0,2.65
359,2020-03-23,세종,0,42,1,0,0,0,0,12.27
360,2020-03-23,울산,0,36,0,0,0,0,0,3.14
361,2020-03-23,대전,0,24,0,0,0,0,0,1.63
362,2020-03-23,광주,0,19,0,0,0,0,0,1.3
363,2020-03-23,인천,0,40,0,0,0,0,0,1.35
364,2020-03-23,대구,82,6411,24,0,0,0,0,263.12
365,2020-03-23,부산,1,109,1,0,0,0,0,3.19
366,2020-03-23,서울,0,330,6,0,0,0,0,3.39
367,2020-03-23,합계,111,8961,64,0,0,0,0,17.28
368,2020-03-24,검역,0,67,20,0,0,0,0,0.0
369,2020-03-24,제주,0,4,0,0,0,0,0,0.6
370,2020-03-24,경남,0,90,1,0,0,0,0,2.68
371,2020-03-24,경북,26,1257,1,0,0,0,0,47.21
372,2020-03-24,전남,0,6,0,0,0,0,0,0.32
373,2020-03-24,전북,0,10,0,0,0,0,0,0.55
374,2020-03-24,충남,0,120,0,0,0,0,0,5.65
